N,C Iterative,C Memoization,Rust Iterative,Rust Memoization
145,0.001814,0.001595,0.001843,0.002022
146,0.001579,0.001787,0.002072,0.001982
147,0.001649,0.001708,0.001894,0.001912
148,0.001773,0.002281,0.002938,0.002499
149,0.00238,0.002809,0.002756,0.002235
150,0.002035,0.001869,0.002159,0.002179
151,0.001969,0.001718,0.00201,0.002265
152,0.002312,0.001812,0.002168,0.002412
153,0.002045,0.001782,0.002118,0.002104
154,0.001836,0.001788,0.002004,0.002254
155,0.002008,0.001733,0.002013,0.002327
156,0.001837,0.001715,0.001891,0.002263
157,0.001784,0.001964,0.002071,0.002171
158,0.001855,0.001867,0.00199,0.00219
159,0.001792,0.001882,0.00196,0.002017
160,0.001984,0.001782,0.001984,0.001974
161,0.00162,0.001751,0.002154,0.001984
162,0.001633,0.00168,0.00217,0.002113
163,0.001588,0.001526,0.00192,0.002165
164,0.001818,0.001655,0.001942,0.002365
165,0.001661,0.001558,0.001799,0.002019
166,0.001859,0.001569,0.001772,0.002028
167,0.001771,0.00154,0.00187,0.001866
168,0.001695,0.001762,0.001858,0.001936
169,0.001641,0.001626,0.002032,0.001905
170,0.001564,0.001619,0.00199,0.001972
171,0.00156,0.001499,0.001824,0.002116
172,0.001591,0.001617,0.001756,0.002032
173,0.001915,0.001634,0.001779,0.00201
174,0.001798,0.00165,0.00181,0.001911
175,0.001633,0.001769,0.00191,0.001861
176,0.001627,0.001641,0.001925,0.001893
177,0.001594,0.00158,0.002115,0.00193
178,0.001679,0.001571,0.001822,0.002149
179,0.001636,0.001494,0.00175,0.002
180,0.001627,0.001506,0.001805,0.001912
181,0.001958,0.001647,0.001815,0.001888
182,0.001611,0.002011,0.001798,0.00184
183,0.001679,0.001731,0.001925,0.001975
184,0.001606,0.001619,0.002006,0.001917
185,0.001559,0.001552,0.001812,0.002024
186,0.001628,0.001532,0.001813,0.002147
187,0.001632,0.001586,0.001734,0.001852
188,0.001869,0.001564,0.00179,0.001883
189,0.001578,0.001845,0.001828,0.001915
190,0.001671,0.001611,0.001879,0.00194
191,0.001561,0.001541,0.001958,0.00194
192,0.001576,0.001575,0.001775,0.00221
193,0.001605,0.001532,0.001791,0.002024
194,0.001789,0.001514,0.001857,0.00194
195,0.001746,0.001559,0.001786,0.001853
196,0.001674,0.001682,0.001874,0.001836
197,0.001585,0.001569,0.001997,0.001938
198,0.001577,0.001538,0.00202,0.001955
199,0.001622,0.001506,0.001899,0.002094
200,0.001849,0.001583,0.001788,0.001945
201,0.001756,0.001575,0.001811,0.002049
202,0.001833,0.001625,0.001804,0.001855
203,0.001636,0.00176,0.001922,0.00194
204,0.001698,0.001673,0.002009,0.001883
205,0.001615,0.001636,0.002037,0.001998
206,0.00159,0.001553,0.001819,0.002203
207,0.00164,0.001539,0.001781,0.002058
208,0.00179,0.001596,0.00173,0.002013
209,0.001899,0.001696,0.001788,0.001872
210,0.001675,0.001879,0.001854,0.001795
211,0.001699,0.001682,0.001889,0.00188
212,0.00158,0.001606,0.001963,0.001918
213,0.001569,0.001463,0.001863,0.002032
214,0.001615,0.001499,0.001758,0.002038
215,0.001679,0.00155,0.001751,0.002013
216,0.001755,0.001588,0.001771,0.001901
217,0.001737,0.001929,0.001875,0.001885
218,0.001656,0.001609,0.001944,0.001902
219,0.001555,0.001548,0.00201,0.001923
220,0.001579,0.001527,0.001812,0.00208
221,0.001749,0.001562,0.001814,0.00197
222,0.001754,0.001591,0.001754,0.001904
223,0.001788,0.001585,0.001755,0.001874
224,0.001645,0.001765,0.001873,0.001871
225,0.001613,0.001544,0.001946,0.001928
226,0.001621,0.001561,0.001888,0.002098
227,0.001609,0.001557,0.001779,0.002054
228,0.00165,0.001523,0.001882,0.00277
229,0.002319,0.001973,0.002484,0.002453
230,0.001951,0.001948,0.002133,0.002172
231,0.001804,0.001776,0.002118,0.002388
232,0.001739,0.001734,0.00203,0.002257
233,0.001712,0.001584,0.001804,0.001839
234,0.001856,0.001629,0.001756,0.001993
235,0.001633,0.001873,0.001796,0.001879
236,0.001687,0.001674,0.001856,0.001841
237,0.001614,0.001505,0.002024,0.001976
238,0.001586,0.001579,0.001701,0.002032
239,0.001757,0.0017,0.002209,0.002445
240,0.00178,0.001565,0.001826,0.002036
